Governo;Ministero;From;To;Nome ministero;Nome assegnatario;Partito;Nodecolor;Value;tooltip;Tooltip
Gentiloni;Interno-3;Angelino Alfano (2);Marco Minniti;Interno;Marco Minniti;PD;#b80000;1;La carica di ministro dell'Interno è assegnata a ;La carica di ministro dell'Interno è assegnata a Marco Minniti
Gentiloni;Giustizia-3;Andrea Orlando (2);Andrea Orlando (3);Giustizia;Andrea Orlando;PD;#b80000;1;La carica di ministro della Giustizia è assegnata a ;La carica di Giustizia è stata mantenuta da Andrea Orlando
Gentiloni;Difesa-3;Roberta Pinotti (1);Roberta Pinotti (2);Difesa;Roberta Pinotti;PD;#b80000;1;La carica di ministro della Difesa è assegnata a ;La carica di Difesa è stata mantenuta da Roberta Pinotti
Gentiloni;Economia e finanze-3;Pier Carlo Padoan (1);Pier Carlo Padoan (2);Economia e finanze;Pier Carlo Padoan;PD;#b80000;1;La carica di ministro dell'Economia e finanze è assegnata a ;La carica di Economia e finanze è stata mantenuta da Pier Carlo Padoan
Gentiloni;Sviluppo economico-3;Federica Guidi;Carlo Calenda;Sviluppo economico;Carlo Calenda;Indipendente;#808080;1;La carica di ministro dello Sviluppo economico è assegnata a ;La carica di ministro dello Sviluppo economico è assegnata a Carlo Calenda
Gentiloni;Politiche agricole alimentari,forestali e del turismo-3;Maurizio Martina (1);Maurizio Martina (2);Politiche agricole alimentari,forestali e del turismo;Maurizio Martina;PD;#b80000;1;La carica di ministro delle Politiche agricole alimentari,forestali e del turismo è assegnata a ;La carica di Politiche agricole alimentari,forestali e del turismo è stata mantenuta da Maurizio Martina
Gentiloni;Ambiente e tutela del territorio e del mare-3;Gian Luca Galletti (1);Gian Luca Galletti (2);Ambiente e tutela del territorio e del mare;Gian Luca Galletti;UdC;#120a8f;1;La carica di ministro dell'Ambiente e tutela del territorio e del mare è assegnata a ;La carica di Ambiente e tutela del territorio e del mare è stata mantenuta da Gian Luca Galletti
Gentiloni;Infrastrutture e trasporti-3;Maurizio Lupi (2);Graziano Delrio;Infrastrutture e trasporti;Graziano Delrio;PD;#b80000;1;La carica di ministro delle Infrastrutture e trasporti è assegnata a ;La carica di ministro delle Infrastrutture e trasporti è assegnata a Graziano Delrio
Gentiloni;Lavoro e politiche sociali-3;Giuliano Poletti (1);Giuliano Poletti (2);Lavoro e politiche sociali;Giuliano Poletti;PD;#b80000;1;La carica di ministro del Lavoro e politiche sociali è assegnata a ;La carica di Lavoro e politiche sociali è stata mantenuta da Giuliano Poletti
Gentiloni;Istruzione, università e ricerca-3;Stefania Giannini;Valeria Fedeli;Istruzione;Valeria Fedeli;PD;#b80000;1;La carica di ministro dell'Istruzione è assegnata a ;La carica di ministro dell'Istruzione è assegnata a Valeria Fedeli
Gentiloni;Beni e attività culturali-3;Dario Franceschini (1);Dario Franceschini (2);Beni e attività culturali;Dario Franceschini;PD;#b80000;1;La carica di ministro dei Beni e attività culturali è assegnata a ;La carica di Beni e attività culturali è stata mantenuta da Dario Franceschini
Gentiloni;Salute-3;Beatrice Lorenzin (2);Beatrice Lorenzin (3);Salute;Beatrice Lorenzin;NCD;#120a8f;1;La carica di ministro della Salute è assegnata a ;La carica di Salute è stata mantenuta da Beatrice Lorenzin
;;;;;;;;;;
