Row,Angle,Nominativo,Gruppo
12,59,TRIPODI Maria,FORZA ITALIA - BERLUSCONI PRESIDENTE
13,59,TRIZZINO Giorgio,MOVIMENTO 5 STELLE
14,59,TROIANO Francesca,MOVIMENTO 5 STELLE
15,59,TUCCI Riccardo,MOVIMENTO 5 STELLE
16,59,TURRI Roberto,LEGA - SALVINI PREMIER
7,60,TUZI Manuel,MOVIMENTO 5 STELLE
8,60,UNGARO Massimo,ITALIA VIVA
9,60,VACCA Gianluca,MOVIMENTO 5 STELLE
10,60,VALBUSA Vania,LEGA - SALVINI PREMIER
11,60,VALENTE Simone,MOVIMENTO 5 STELLE
12,60,VALENTINI Valentino,FORZA ITALIA - BERLUSCONI PRESIDENTE
13,60,VALLASCAS Andrea,MOVIMENTO 5 STELLE
14,60,VALLOTTO Sergio,LEGA - SALVINI PREMIER
15,60,VARCHI Maria Carolina,FRATELLI D'ITALIA
16,60,VARRICA Adriano,MOVIMENTO 5 STELLE
7,61,VAZIO Franco,PARTITO DEMOCRATICO
8,61,VERINI Walter,PARTITO DEMOCRATICO
9,61,VERSACE Giuseppina,FORZA ITALIA - BERLUSCONI PRESIDENTE
10,61,VIANELLO Giovanni,MOVIMENTO 5 STELLE
11,61,VIETINA Simona,FORZA ITALIA - BERLUSCONI PRESIDENTE
12,61,VIGNAROLI Stefano,MOVIMENTO 5 STELLE
13,61,VILLANI Virginia,MOVIMENTO 5 STELLE
14,61,VILLAROSA Alessio Mattia,MOVIMENTO 5 STELLE
15,61,VINCI Gianluca,LEGA - SALVINI PREMIER
16,61,VISCOMI Antonio,PARTITO DEMOCRATICO
7,62,VITIELLO Catello,ITALIA VIVA
8,62,VITO Elio,FORZA ITALIA - BERLUSCONI PRESIDENTE
9,62,VIVIANI Lorenzo,LEGA - SALVINI PREMIER
10,62,VIZZINI Gloria,Misto
11,62,VOLPI Leda,MOVIMENTO 5 STELLE
12,62,VOLPI Raffaele,LEGA - SALVINI PREMIER
13,62,ZAN Alessandro,PARTITO DEMOCRATICO
14,62,ZANELLA Federica,LEGA - SALVINI PREMIER
15,62,ZANETTIN Pierantonio,FORZA ITALIA - BERLUSCONI PRESIDENTE
16,62,ZANGRILLO Paolo,FORZA ITALIA - BERLUSCONI PRESIDENTE
7,63,ZANICHELLI Davide,MOVIMENTO 5 STELLE
8,63,ZARDINI Diego,PARTITO DEMOCRATICO
9,63,ZENNARO Antonio,LEGA - SALVINI PREMIER
10,63,ZICCHIERI Francesco,LEGA - SALVINI PREMIER
11,63,ZIELLO Edoardo,LEGA - SALVINI PREMIER
12,63,ZOFFILI Eugenio,LEGA - SALVINI PREMIER
13,63,ZOLEZZI Alberto,MOVIMENTO 5 STELLE
14,63,ZORDAN Adolfo,LEGA - SALVINI PREMIER
15,63,ZUCCONI Riccardo,FRATELLI D'ITALIA
