Ambiente;Giustizia;Lavoro;Sviluppo_Economico;Salute;cultura;difesa;infranstrutture;esteri;economia;istruzione;agricoltura;interno;Governo
m5s;m5s;m5s;m5s;m5s;m5s;m5s;m5s;tecnico;tecnico;lega;lega;lega;Conte I
m5s;m5s;m5s;m5s;Leu;pd;pd;pd;m5s;pd;m5s;pd;tecnico;Conte II
