Row;Angle;Name;Party;Color
24;30;Weeser Sandra;FDP;#ffff00
26;30;Westig Nicole;FDP;#ffff00
28;30;Willkomm Katharina;FDP;#ffff00
30;30;Baumann Dr. Bernd;AfD;#007fff
32;30;Bernhard Marc;AfD;#007fff
34;30;Bleck Andreas;AfD;#007fff
36;30;Boehringer Peter;AfD;#007fff
38;30;Brandner Stephan;AfD;#007fff
40;30;Braun Jürgen;AfD;#007fff
42;30;Bühl Marcus;AfD;#007fff
44;30;Büttner Matthias;AfD;#007fff
46;30;Bystron Petr;AfD;#007fff
48;30;Chrupalla Tino;AfD;#007fff
50;30;Cotar Joana;AfD;#007fff
52;30;Curio Dr. Gottfried;AfD;#007fff
54;30;Droese Siegbert;AfD;#007fff
56;30;Ehrhorn Thomas;AfD;#007fff
58;30;Elsner von Gronow Berengar;AfD;#007fff
60;30;Espendiller Dr. Michael;AfD;#007fff
20;31;Felser Peter;AfD;#007fff
22;31;Friedhoff Dietmar;AfD;#007fff
24;31;Friesen Dr. Anton;AfD;#007fff
26;31;Frömming Dr. Götz;AfD;#007fff
28;31;Frohnmaier Markus;AfD;#007fff
30;31;Gauland Dr. Alexander;AfD;#007fff
32;31;Gehrke Prof. Dr. Axel;AfD;#007fff
34;31;Glaser Albrecht;AfD;#007fff
36;31;Gminder Franziska;AfD;#007fff
38;31;Gottberg Wilhelm von;AfD;#007fff
40;31;Gottschalk Kay;AfD;#007fff
42;31;Hampel Armin-Paulus;AfD;#007fff
44;31;Harder-Kühnel Mariana Iris;AfD;#007fff
46;31;Hartwig Dr. Roland;AfD;#007fff
48;31;Haug Jochen;AfD;#007fff
50;31;Hebner Martin;AfD;#007fff
52;31;Hemmelgarn Udo Theodor;AfD;#007fff
54;31;Herdt Waldemar;AfD;#007fff
56;31;Hess Martin;AfD;#007fff
58;31;Heßenkemper Prof. Dr. Heiko;AfD;#007fff
60;31;Hilse Karsten;AfD;#007fff
20;32;Höchst Nicole;AfD;#007fff
22;32;Hohmann Martin;AfD;#007fff
24;32;Hollnagel Dr. Bruno;AfD;#007fff
26;32;Holm Leif-Erik;AfD;#007fff
28;32;Huber Johannes;AfD;#007fff
30;32;Jacobi Fabian;AfD;#007fff
32;32;Jongen Dr. Marc;AfD;#007fff
34;32;Kestner Jens;AfD;#007fff
36;32;Keuter Stefan;AfD;#007fff
38;32;Kleinwächter Norbert;AfD;#007fff
40;32;König Jörn;AfD;#007fff
42;32;Komning Enrico;AfD;#007fff
44;32;Kotré Steffen;AfD;#007fff
46;32;Kraft Dr. Rainer;AfD;#007fff
48;32;Lucassen Rüdiger;AfD;#007fff
50;32;Magnitz Frank;AfD;#007fff
52;32;Maier Jens;AfD;#007fff
54;32;Maier Prof. Dr. Lothar;AfD;#007fff
56;32;Malsack-Winkemann Dr. Birgit;AfD;#007fff
58;32;Miazga Corinna;AfD;#007fff
60;32;Mrosek Andreas;AfD;#007fff
20;33;Müller Hansjörg;AfD;#007fff
22;33;Münz Volker;AfD;#007fff
24;33;Münzenmaier Sebastian;AfD;#007fff
26;33;Neumann Christoph;AfD;#007fff
28;33;Nolte Jan Ralf;AfD;#007fff
30;33;Oehme Ulrich;AfD;#007fff
32;33;Otten Gerold;AfD;#007fff
34;33;Peterka Tobias Matthias;AfD;#007fff
36;33;Podolay Paul Viktor;AfD;#007fff
38;33;Pohl Jürgen;AfD;#007fff
40;33;Protschka Stephan;AfD;#007fff
42;33;Reichardt Martin;AfD;#007fff
44;33;Renner Martin Erwin;AfD;#007fff
46;33;Reusch Roman Johannes;AfD;#007fff
48;33;Schielke-Ziesing Ulrike;AfD;#007fff
50;33;Schlund Dr. Robby;AfD;#007fff
52;33;Schneider Jörg;AfD;#007fff
54;33;Schulz Uwe;AfD;#007fff
56;33;Seitz Thomas;AfD;#007fff
58;33;Sichert Martin;AfD;#007fff
60;33;Spangenberg Detlev;AfD;#007fff
20;34;Spaniel Dr. Dirk;AfD;#007fff
22;34;Springer René;AfD;#007fff
24;34;Storch Beatrix von;AfD;#007fff
26;34;Weidel Dr. Alice;AfD;#007fff
28;34;Weyel Prof. Dr. Harald;AfD;#007fff
30;34;Wiehle Wolfgang;AfD;#007fff
32;34;Wildberg Dr. Heiko;AfD;#007fff
34;34;Wirth Dr. Christian;AfD;#007fff
36;34;Witt Uwe;AfD;#007fff
38;34;Bülow Marco;Independent;#9c9c9c
40;34;Hartmann Verena;Independent;#9c9c9c
42;34;Herrmann Lars;Independent;#9c9c9c
44;34;Kamann Uwe;Independent;#9c9c9c
46;34;Mieruch Mario;Independent;#9c9c9c
48;34;Pasemann Frank;Independent;#9c9c9c
50;34;Petry Dr. Frauke;Independent;#9c9c9c
