

Ente;Liste/Gruppi;Voti;
ITALIA;DC;13233620;;
ITALIA;PCI;10250644;;
ITALIA;PSI;5501696;;
ITALIA;MSI-DN;2281126;;
ITALIA;PRI;1428663;;
ITALIA;PSDI;1140209;;
ITALIA;P.RAD;987720;;
ITALIA;LISTA VERDE;969218;;
ITALIA;PLI;809946;;
ITALIA;DEM.PROL;641901;;
ITALIA;LIGA VENETA-PU;298402;;
ITALIA;PPST;202022;;
ITALIA;LEGA LOMBARDA;186255;;
ITALIA;PS D'AZ.;169978;;
ITALIA;PIEMONT-AUT.REG.;72064;;
ITALIA;PIEMONT;61701;;
ITALIA;CPA;55911;;
ITALIA;UV-ADP-PRI;41707;;
ITALIA;DC-PCI-PSI-PSDI;29937;;
ITALIA;ALL.POP.;25339;;
ITALIA;MOV.LIB.FISCALE;25046;;
ITALIA;ALL.PENS.;21342;;
ITALIA;P.VERDE I.VER.E.;20916;;
ITALIA;MOV.VEN.REG.AUT;18945;;
ITALIA;MOV.NAZ.IT.CACC.;14787;;
ITALIA;PNI-CACCIA PESCA;14306;;
ITALIA;MOV.FRIULI;13208;;
ITALIA;PART.SUD.TIROL;11287;;
ITALIA;VERDI IT.-P.ECOL;10269;;
ITALIA;PARTIDU INDIP.;9958;;
ITALIA;ALL.UM.;5585;;
ITALIA;NPP;5055;;
ITALIA;GIUST. E LIB.;4793;;
ITALIA;RINASCITA SIC.;2951;;
ITALIA;PART.NAZ.INQ.;2898;;
ITALIA;MOV.IND.TLT;2103;;
