

Ente;Candidato;Liste/Gruppi;Voti lista;;
ITALIA (escl. Valle d'Aosta);PRODI ROMANO;L'ULIVO;11930983;;
ITALIA (escl. Valle d'Aosta);;RIFONDAZIONE COMUNISTA;2229464;;
ITALIA (escl. Valle d'Aosta);;LA ROSA NEL PUGNO;990694;;
ITALIA (escl. Valle d'Aosta);;COMUNISTI ITALIANI;884127;;
ITALIA (escl. Valle d'Aosta);;DI PIETRO ITALIA DEI VALORI;877052;;
ITALIA (escl. Valle d'Aosta);;FEDERAZIONE DEI VERDI;784803;;
ITALIA (escl. Valle d'Aosta);;U.D.EUR POPOLARI;534088;;
ITALIA (escl. Valle d'Aosta);;PARTITO PENSIONATI;333278;;
ITALIA (escl. Valle d'Aosta);;SVP;182704;;
ITALIA (escl. Valle d'Aosta);;I SOCIALISTI ;115066;;
ITALIA (escl. Valle d'Aosta);;LISTA CONSUMATORI;73751;;
ITALIA (escl. Valle d'Aosta);;ALLEANZA LOMBARDA AUTONOMIA;44589;;
ITALIA (escl. Valle d'Aosta);;LIGA FRONTE VENETO;21999;;
ITALIA (escl. Valle d'Aosta);BERLUSCONI SILVIO;FORZA ITALIA;9048976;;
ITALIA (escl. Valle d'Aosta);;ALLEANZA NAZIONALE;4707126;;
ITALIA (escl. Valle d'Aosta);;UNIONE DI CENTRO;2580190;;
ITALIA (escl. Valle d'Aosta);;LEGA NORD;1747730;;
ITALIA (escl. Valle d'Aosta);;DEM.CRIST.-NUOVO PSI;285474;;
ITALIA (escl. Valle d'Aosta);;ALTERNATIVA SOCIALE MUSSOLINI;255354;;
ITALIA (escl. Valle d'Aosta);;FIAMMA TRICOLORE;230506;;
ITALIA (escl. Valle d'Aosta);;NO EURO;58746;;
ITALIA (escl. Valle d'Aosta);;PENSIONATI UNITI;27550;;
ITALIA (escl. Valle d'Aosta);;AMBIENTA-LISTA;17145;;
ITALIA (escl. Valle d'Aosta);;P.LIBERALE ITALIANO;12265;;
ITALIA (escl. Valle d'Aosta);;S.O.S. ITALIA;6781;;
ITALIA (escl. Valle d'Aosta);SAYA  GAETANO;DESTRA NAZIONALE;1093;;
ITALIA (escl. Valle d'Aosta);CUMPOSTU SEBASTIANO;SARDIGNA NATZIONE;11000;;
ITALIA (escl. Valle d'Aosta);DI MARTINO OSCAR QUINTINO;DIMENSIONE CHRISTIANA;2489;;
ITALIA (escl. Valle d'Aosta);IANNANTUONI DOMENICO;PER IL SUD;5130;;
ITALIA (escl. Valle d'Aosta);LEITNER PIUS;DIE FREIHEITLICHEN;17183;;
ITALIA (escl. Valle d'Aosta);MARSAN ANNALISA;MOVIMENTO TRIVENETO;4518;;
ITALIA (escl. Valle d'Aosta);MORANA SALVATORE;MOV.DEM.SIC-NOI SIC.;5003;;
ITALIA (escl. Valle d'Aosta);PANTO GIORGIO;PROGETTO NORDEST;92002;;
ITALIA (escl. Valle d'Aosta);PIROVANO PIERO;SOLIDARIETA';5814;;
ITALIA (escl. Valle d'Aosta);SALE GAVINO;IRS;11648;;
ITALIA (escl. Valle d'Aosta);SCOTTI VINCENZO;TERZO POLO;16174;;
ITALIA (escl. Valle d'Aosta);VESTUTO GIANFRANCO;LEGA SUD;848;;
Ente;Liste/Gruppi;Voti;
CIRCOSCRIZIONE ESTERO;L'UNIONE;421414;;
CIRCOSCRIZIONE ESTERO;FORZA ITALIA;202536;;
CIRCOSCRIZIONE ESTERO;ASS.ITAL.SUD AMERICA;99817;;
CIRCOSCRIZIONE ESTERO;PER ITALIA NEL MONDO;72105;;
CIRCOSCRIZIONE ESTERO;UNIONE DI CENTRO;66456;;
CIRCOSCRIZIONE ESTERO;DI PIETRO ITALIA DEI VALORI;27432;;
CIRCOSCRIZIONE ESTERO;LEGA NORD;20211;;
CIRCOSCRIZIONE ESTERO;U.S.E.I.;14205;;
CIRCOSCRIZIONE ESTERO;P.ITALIANI NEL MONDO;11250;;
CIRCOSCRIZIONE ESTERO;L' ALTRA SICILIA PER IL SUD;10867;;
CIRCOSCRIZIONE ESTERO;U.D.EUR POPOLARI;9721;;
CIRCOSCRIZIONE ESTERO;ALTERNATIVA SOCIALE MUSSOLINI;7030;;
CIRCOSCRIZIONE ESTERO;ALT.IND.ITAL.ESTERO;3732;;
CIRCOSCRIZIONE ESTERO;AMARE L'ITALIA;3179;;
CIRCOSCRIZIONE ESTERO;FIAMMA TRICOLORE;1197;;
