

Ente;Liste/Gruppi;Voti;
ITALIA;DC;12437848;;
ITALIA;PCI;8551347;;
ITALIA;PSU;4603192;;
ITALIA;PLI;1850650;;
ITALIA;PSIUP;1414697;;
ITALIA;MSI;1414036;;
ITALIA;PRI;626533;;
ITALIA;PDIUM;414507;;
ITALIA;PPST;152991;;
ITALIA;SOCIALDEMOCRAZIA;100212;;
ITALIA;NUOVA REPUBBLICA;63402;;
ITALIA;PAPI;41716;;
ITALIA;UV;31557;;
ITALIA;PS D'AZ.;27228;;
ITALIA;PART.MON.NAZ.;18883;;
ITALIA;MOV.SOC.;6551;;
ITALIA;UNIONE SLOVENA;6142;;
ITALIA;PST.PROG.SOC.;5740;;
ITALIA;UN.NAZ.SAL.PUB.;3697;;
ITALIA;RAG.VOL."T";3158;;
ITALIA;PART.ORD.ECON.;3013;;
ITALIA;PART.DEM.PROG.;2208;;
ITALIA;PART.AGRICOLTORI;2061;;
ITALIA;RAGGR.ITAL.;1807;;
ITALIA;P.COM.RIVOL.;1798;;
ITALIA;P.RAD;1540;;
ITALIA;RIS.POP.;1196;;
ITALIA;SACRO IDEAL.MONDO;1126;;
ITALIA;P.PROG.UNSIPO;1068;;
ITALIA;PART.NAZ.MUT.COMB.IT;524;;
