2018;2018;2018;2018;2013;2013;2013;2013;2008;2008;2008;2008;2006;2006;2006;2006;2001;2001;2001;2001;1996;1996;1996;1996;1994;1994;1994;1994;1992;1992;1992;1992;1987;1987;1987;1987;1983;1983;1983;1983;1979;1979;1979;1979;1976;1976;1976;1976;1972;1972;1972;1972;1968;1968;1968;1968;1963;1963;1963;1963;1958;1958;1958;1958;1953;1953;1953;1953;1948;1948;1948;1948
Ente;Candidato;Liste/Gruppi;Voti lista;Ente;Candidato;Liste/Gruppi;Voti lista;Ente;Candidato;Liste/Gruppi;Voti lista;Ente;Candidato;Liste/Gruppi;Voti lista;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti;Ente;;Liste/Gruppi;Voti
ITALIA;;SVP - PATT;128282;ITALIA;;LA DESTRA;221368;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);DOMENICO SAVIO ;P.COM.MARX-LEN.;8094;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;ALLEANZA LOMBARDA AUTONOMIA;90855;ITALIA;;LIGA FRONTE VENETO;138134;ITALIA;;MANI PULITE;109113;ITALIA;;LEGA ALPINA LUMBARDA;246046;ITALIA;;PSDI;853895;ITALIA;;P.RAD;572461;ITALIA;;DEM.PROL;327750;ITALIA;;DN-CD;176966;ITALIA;;PPST;158584;ITALIA;;PCI-PSIUP-PSI;41833;ITALIA;;SOCIALDEMOCRAZIA;36073;ITALIA;;DC-PRI;199805;ITALIA;;PART.NAZ.MON-MSI;291359;ITALIA;;UNITA'POPOLARE;172545;ITALIA;;EDELWEISS;95406
ITALIA;CANDIDATI UNINOMINALI ;LIBERI E UGUALI;991159;ITALIA;;PARTITO PENSIONATI;123237;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);BUSTIANU CUMPOSTU ;SARDIGNA NATZIONE;6972;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;LISTA CONSUMATORI;72199;ITALIA;;SVP;126177;ITALIA;;ALLEANZA LOMBARDA AUTONOMIA;106313;ITALIA;;LISTE AUTONOMISTE;233361;ITALIA;;LISTA REFERENDUM;332318;ITALIA;;DEM.PROL;493667;ITALIA;;PPST;157444;ITALIA;;PPST;172582;ITALIA;;DEM.PROL;78170;ITALIA;;PSDI-PRI;31953;ITALIA;;UV;28414;ITALIA;;PPST;112023;ITALIA;;PCI-PSI;185557;ITALIA;;ALL.DEMOC.NAZIONALE;165845;ITALIA;;P.CONTADINI D'ITALIA;65986
ITALIA;CANDIDATI UNINOMINALI ;POTERE AL POPOLO!;320493;ITALIA;;GRANDE SUD;122262;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);GIANFRANCO VESTUTO ;LEGA SUD;7109;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;L'ULIVO;59498;ITALIA;;VA' PENSIERO PADANIA;119058;ITALIA;;UNIONE NORD EST;72541;ITALIA;;SVP;217137;ITALIA;;LA RETE-MOV.DEM.;239868;ITALIA;;LIGA VENETA-PU;298552;ITALIA;;PLI-PRI;127504;ITALIA;;ASSOCIAZIONE PER TRIESTE;61911;ITALIA;;PCI-PSI;52922;ITALIA;;DC-UV-RV-PSDI;31114;ITALIA;;PS D'AZ.;25891;ITALIA;;CONC.UNITA'RURALE;58064;ITALIA;;COMUNITA';142897;ITALIA;;EDELWEISS;107139;ITALIA;;PS D'AZ.;65743
ITALIA;CANDIDATI UNINOMINALI ;CASAPOUND ITALIA;259718;ITALIA;;MIR - MODERATI IN RIVOLUZIONE;69838;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);ROBERTO FIORE ;FORZA NUOVA;85564;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;PSDI;57343;ITALIA;;FRONTE NAZIONALE;98132;ITALIA;;NOI SICILIANI-FNS;71841;ITALIA;;FI-CCD;149965;ITALIA;;PARTITO PENSIONATI;215889;ITALIA;;PPST;171539;ITALIA;;PLI-PRI-PSDI;100218;ITALIA;;NUOVA SIN.UNITA;44094;ITALIA;;PLI-PRI;51353;ITALIA;;TIROL.;28735;ITALIA;;PST.PROG.SOC.;5870;ITALIA;;P.AUT.CRIST.SOC.;43355;ITALIA;;PPST;120068;ITALIA;;AUT.AOSTA-PACE;16873;ITALIA;;UN.MOV.FEDERALISTI;42880
ITALIA;CANDIDATI UNINOMINALI ;IL POPOLO DELLA FAMIGLIA;211759;ITALIA;;MPA - PARTITO DEI SICILIANI;48539;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);STEFANO DE LUCA ;P.LIBERALE ITALIANO;100759;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;REPUBBLICANI EUROPEI;51219;ITALIA;;DEM.EUR-SOC.AUT;79002;ITALIA;;LEGA D'AZIONE MERIDIONALE;66750;ITALIA;;PSI;103490;ITALIA;;FEDERALISMO-PENS.UV.;174713;ITALIA;;LEGA LOMBARDA;137276;ITALIA;;LIGA VENETA;91171;ITALIA;;UNIONE VALDOSTANA-DEMPROL-PLI;37082;ITALIA;;DC-RV-UV-UVP-PRI;22917;ITALIA;;PC(MARX-LEN)IT;27876;;;;;ITALIA;;PS D'AZ.;34954;ITALIA;;MOVIM.AUT.REG.-M.A.R.P.;61088;;;;;ITALIA;;MOV.NAZ.DEM.SOC.;27152
ITALIA;CANDIDATI UNINOMINALI ;ITALIA AGLI ITALIANI;149907;ITALIA;;INTESA POPOLARE;24870;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);GIACOMO SANNA ;PS D'AZ.;15280;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;LIGA FRONTE VENETO;23214;ITALIA;;PARTITO PENSIONATI;78572;ITALIA;;VERDI-VERDI;61434;ITALIA;;VERDI FEDERALISTI;100418;ITALIA;;PPST;168113;ITALIA;;PS D'AZ.;124266;ITALIA;;LISTA PER TRIESTE;85542;ITALIA;;MOV.FRIULI;31490;ITALIA;;PCI-PSI-PDUP;21072;ITALIA;;DEM.POP.;26372;;;;;ITALIA;;UV;29510;ITALIA;;PSI-PSDI-IS;43191;;;;;ITALIA;;FR.DEM.PROG.REPUB.;13479
ITALIA;CANDIDATI UNINOMINALI ;PARTITO COMUNISTA;101648;ITALIA;;CANTIERE POPOLARE;21675;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);ENRICO BOSELLI ;PARTITO SOCIALISTA;284837;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;DEMOCRAZIA CRISTIANI UNITI;5442;ITALIA;;FORZA NUOVA;39545;ITALIA;;ALL.PENSIONATI EUR.;60640;ITALIA;;PS D'AZ.;88225;ITALIA;;LISTA PANNELLA;166708;ITALIA;;ALL.LAICA SOC.;84883;ITALIA;;PS D'AZ.;76797;ITALIA;;UNITA DELLA SINISTRA;19814;ITALIA;;DEM.POP-UVP M.REG;17699;ITALIA;;AZ.CR.POP.;2713;;;;;ITALIA;;IND.DESTRA;24772;ITALIA;;IND.SIN.;28141;;;;;ITALIA;;ALTRI;2932
ITALIA;CANDIDATI UNINOMINALI ;PARTITO VALORE UMANO;38749;ITALIA;;BASTA TASSE;19202;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);FLAVIA D'ANGELI ;SINISTRA CRITICA;136679;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);BERLUSCONI SILVIO;FORZA ITALIA;8202890;ITALIA;;VERDI-VERDI;35743;ITALIA;;DEMOCRAZIA SOCIALE;60016;ITALIA;;VERDI-VERDI;68218;ITALIA;;PER LA CALABRIA;143976;ITALIA;;PIEMONT-AUT.REG.;60742;ITALIA;;PLI-PSDI;72298;ITALIA;;PS D'AZ.;15766;ITALIA;;UNIONE SLOVENA;9023;;;;;;;;;ITALIA;;INDIPENDENTE CATTOLICO;22578;ITALIA;;PS D'AZ.;25923;;;;;ITALIA;;CONC.RUR.IND.AOSTA;2868
ITALIA;CANDIDATI UNINOMINALI ;PER UNA SINISTRA RIVOLUZIONARIA;32623;ITALIA;;LIBERI PER UNA ITALIA EQUA;6488;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);ANTONIO POTENZA ;POPOLARI UNITI;12389;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;ALLEANZA NAZIONALE;4235208;ITALIA;;PS D'AZ-SARD.NATZ.;32822;ITALIA;;FED.LISTE CIVICHE IT;55793;ITALIA;;SOCIALDEMOCRAZIA;66589;ITALIA;;LEGA AUT.VENETA;142446;ITALIA;;PSI-PSDI-PR-VERDI;58501;ITALIA;;RINN-MOLISE;33525;ITALIA;;PRI-PST-PROGR.SOC.;9115;ITALIA;;TIROL.;7193;;;;;;;;;ITALIA;;SINISTRA IND.;15224;ITALIA;;CHIAVE;12686;;;;;ITALIA;;UN.SOCIAL.INDIP.;2833
ITALIA;CANDIDATI UNINOMINALI ;PARTITO REPUBBLICANO ITALIANO - ALA;27384;ITALIA;GIUSEPPE PIERO GRILLO ;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;7286550;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);STEFANO MONTANARI ;PER IL BENE COMUNE;105827;ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;UNIONE DI CENTRO;2309442;ITALIA;;VALLEE D'AOSTE;32429;ITALIA;;SARDIGNA NATZIONE;44713;ITALIA;;LA RETE-MOV.DEM.;12560;ITALIA;;ALTRE LEGHE;141178;ITALIA;;ALL.POP.PENS;51790;ITALIA;;LISTA TS-PPPIU;27940;ITALIA;;NUOVA SIN.SARDA;5512;ITALIA;;NPP;4827;;;;;;;;;ITALIA;;USCS;13187;ITALIA;;BRUNO BUITONI;11540;;;;;;;;
