

Ente;Liste/Gruppi;Voti;
ITALIA;DC;11773182;;
ITALIA;PCI;7767601;;
ITALIA;PSI;4255836;;
ITALIA;PLI;2144270;;
ITALIA;PSDI;1876271;;
ITALIA;MSI;1570282;;
ITALIA;PDIUM;536948;;
ITALIA;PRI;420213;;
ITALIA;PPST;135457;;
ITALIA;CONC.UNITA'RURALE;92209;;
ITALIA;PAPI;87655;;
ITALIA;UV;31844;;
ITALIA;M.COMB.IT-FR.RIN.NAZ;19902;;
ITALIA;MOV.POL.CATT.IT.;7220;;
ITALIA;PART.SOC.CRIST.;6873;;
ITALIA;PART.MON.NAZ.;6472;;
ITALIA;L.UNIT.SLOV.;5679;;
ITALIA;MOV.IND.TLT;4261;;
ITALIA;UN.NAZ.SAL.PUB.;2926;;
ITALIA;MOV.COLT.E SAL.;2685;;
ITALIA;RINN.SOC.;1750;;
ITALIA;MOV.POP.IT.;1621;;
ITALIA;AV.NAZ.;959;;
ITALIA;PART.LAB.IT.;755;;
