

Ente;Liste/Gruppi;Voti;
ITALIA;FORZA ITALIA;10923431;;
ITALIA;DEMOCRATICI SINISTRA;6151154;;
ITALIA;LA MARGHERITA;5391827;;
ITALIA;ALLEANZA NAZIONALE;4463205;;
ITALIA;RIFONDAZIONE COMUNISTA;1868659;;
ITALIA;LEGA NORD;1464301;;
ITALIA;LISTA DI PIETRO;1443725;;
ITALIA;CCD-CDU;1194040;;
ITALIA;DEMOCRAZIA EUROPEA;888249;;
ITALIA;PANNELLA-BONINO;832213;;
ITALIA;IL GIRASOLE;805340;;
ITALIA;COMUNISTI ITALIANI;620859;;
ITALIA;NUOVO PSI;353269;;
ITALIA;SVP;200059;;
ITALIA;FIAMMA TRICOLORE;143963;;
ITALIA;LIGA FRONTE VENETO;74353;;
ITALIA;PARTITO PENSIONATI;68349;;
ITALIA;PS D'AZ-SARD.NATZ.;34412;;
ITALIA;PAESE NUOVO;34193;;
ITALIA;ABOLIZIONE SCORPORO;26917;;
ITALIA;LEGA D'AZIONE MERIDIONALE;23779;;
ITALIA;FRONTE NAZIONALE;22985;;
ITALIA;VERDI-VERDI;18262;;
ITALIA;FORZA NUOVA;13622;;
ITALIA;LISTA AMADU;11517;;
ITALIA;REPUBBLICANI EUROPEI;7997;;
ITALIA;NOI SICILIANI;7637;;
ITALIA;MOVIMENTO DELLE LIBERTA';6754;;
ITALIA;LIBERI E FORTI;6722;;
ITALIA;SOCIAL.AUTON.;6492;;
ITALIA;LIBDEM.BASTA;6332;;
ITALIA;COMUNISMO;5244;;
ITALIA;TERZO POLO AUTONOMIA;2915;;
