

Ente;Liste/Gruppi;Voti;
ITALIA;DC;12153081;;
ITALIA;PCI;11032318;;
ITALIA;PSI;4223362;;
ITALIA;MSI-DN;2511487;;
ITALIA;PRI;1874512;;
ITALIA;PSDI;1508234;;
ITALIA;PLI;1066980;;
ITALIA;P.RAD;809810;;
ITALIA;DEM.PROL;542039;;
ITALIA;PART.NAZ.PENS.;503461;;
ITALIA;PPST;184940;;
ITALIA;LIGA VENETA;125311;;
ITALIA;LISTA PER TRIESTE;92101;;
ITALIA;PS D'AZ.;91923;;
ITALIA;UV-UVP-D.POP.;28086;;
ITALIA;MOV.FRIULI;26190;;
ITALIA;PPTT;18656;;
ITALIA;UN.DIF.PENS.;15182;;
ITALIA;PART.MON.NAZ.;13573;;
ITALIA;PART.SUD.TIROL;12270;;
ITALIA;UN.PEN.PENS.IT.;9944;;
ITALIA;UNIONE SLOVENA;9434;;
ITALIA;POE;8074;;
ITALIA;LISTA DI LOTTA;6863;;
ITALIA;PART.CRIST.AZ.SOC.;6354;;
ITALIA;VIV.LIB.;5257;;
ITALIA;FR.NAZ.SIC.;5228;;
ITALIA;PART.NAZ.INQ.;4768;;
ITALIA;MOV.ECOL.SARDO;4263;;
ITALIA;PLI-PRI-PSDI;4239;;
ITALIA;MOV.IND.TLT;2913;;
ITALIA;NUOVA SINISTRA;1853;;
ITALIA;GIUST. E LIB.;1692;;
ITALIA;MOV.POP.CRIST.;1607;;
