

Ente;Liste/Gruppi;Voti;
ITALIA;DC;14046290;;
ITALIA;PCI;11139231;;
ITALIA;PSI;3596802;;
ITALIA;MSI-DN;1930639;;
ITALIA;PSDI;1407535;;
ITALIA;P.RAD;1264870;;
ITALIA;PRI;1110209;;
ITALIA;PLI;712646;;
ITALIA;PDUP;502247;;
ITALIA;NUOVA SIN.UNITA;294462;;
ITALIA;DN-CD;229205;;
ITALIA;PPST;204899;;
ITALIA;ASSOCIAZIONE PER TRIESTE;65505;;
ITALIA;MOV.FRIULI;35254;;
ITALIA;UNIONE VALDOSTANA-DEMPROL-PLI;33250;;
ITALIA;UNITA' DELLA SINISTRA;23909;;
ITALIA;PS D'AZ.;17673;;
ITALIA;DC-PSDI-PRI;13442;;
ITALIA;POE;7371;;
ITALIA;PARTITO POPOLARE ITALIANO;6497;;
ITALIA;FRONTE GIUST.SIC.;5146;;
ITALIA;PART.CRIST.AZ.SOC.;3115;;
ITALIA;P.DEM.;3108;;
ITALIA;PART.BEN.CIV.;2991;;
ITALIA;PART.POP.CALAB.;2927;;
ITALIA;FR.NAZ.SIC.;2749;;
ITALIA;FIORE MARGHERITA;2123;;
ITALIA;MOV.POP.CRIST.;1921;;
ITALIA;ASS.VAL.IND;1907;;
ITALIA;NPP;1869;;
ITALIA;PART.SIN.DEM.;1516;;
