

Ente;Liste/Gruppi;Voti;
ITALIA;DC;12740042;;
ITALIA;FR.DEMOCR.POPOLARE;8136637;;
ITALIA;UNITA' SOCIALISTA;1858116;;
ITALIA;BLOCCO NAZIONALE;1003727;;
ITALIA;P.NAZ.MON.ALL.D.LAV.;729078;;
ITALIA;PRI;651875;;
ITALIA;MSI;526882;;
ITALIA;PPST;124243;;
ITALIA;P.CONTADINI D'ITALIA;95914;;
ITALIA;PARTITO CRISTIANO SOCIALE;72854;;
ITALIA;PS D'AZ.;61928;;
ITALIA;MOV.NAZ.DEM.SOC.;56096;;
ITALIA;UN.MOV.FEDERALISTI;52655;;
ITALIA;BLOCCO POP.UNIONISTA;35899;;
ITALIA;PC.INTERNAZIONALISTA;20736;;
ITALIA;FR.DEM.PROG.REPUB.;14482;;
ITALIA;CONC.NAZ.COMBAT.UNIT;11396;;
ITALIA;ALTRE LISTE;10545;;
ITALIA;P.DEMOLABURISTA IT.;10002;;
ITALIA;P.DEM.IND.PENSIONATI;8125;;
ITALIA;P.INDIPENDENTE CONTADINI;6733;;
ITALIA;FR.DEGLI ITALIANI;5481;;
ITALIA;GR.POL.LA DESTRA;4300;;
ITALIA;AS.NAZ.CONG.DIS.GUER;3707;;
ITALIA;P.PATRIA E LIBERTA';3178;;
ITALIA;CONC.RUR.IND.AOSTA;2906;;
ITALIA;FR.ANTIBOLSCEVICO IT;2756;;
ITALIA;UN.SOCIAL.INDIP.;2637;;
ITALIA;RAGGRUP.POP.ITALIANO;2191;;
ITALIA;FR.UN.ANTICOM.RIS.N.;2091;;
ITALIA;MAGLIO;1642;;
ITALIA;CONF.IT.LIBERI SIND.;1531;;
ITALIA;M.NAZ.SIN.DAN.GUERRA;1179;;
ITALIA;LEGA SARDA;1117;;
ITALIA;M.CAT.IND.PAX JUSTIT;961;;
ITALIA;P.ESISTENZIALISTA IT;816;;
