

Ente;Liste/Gruppi;Voti;
ITALIA;PDS;7894118;;
ITALIA;FORZA ITALIA;7712149;;
ITALIA;ALLEANZA NAZIONALE;5870491;;
ITALIA;LEGA NORD;3776354;;
ITALIA;RIFONDAZIONE COMUNISTA;3213748;;
ITALIA;POP-SVP-PRI-UD-PRODI;2554072;;
ITALIA;CCD-CDU;2189563;;
ITALIA;RINNOVAMENTO IT-DINI;1627380;;
ITALIA;FEDERAZIONE DEI VERDI;938665;;
ITALIA;PANNELLA-SGARBI;702988;;
ITALIA;MOV.SOC.TRICOLORE;339351;;
ITALIA;SOCIALISTA;149441;;
ITALIA;LEGA D'AZIONE MERIDIONALE;72062;;
ITALIA;UNIONE NORD EST;63934;;
ITALIA;UNION FUR SUD TIROL;55548;;
ITALIA;MANI PULITE;44935;;
ITALIA;NOI SICILIANI-FNS;41001;;
ITALIA;PS D'AZ.;38002;;
ITALIA;VERDI-VERDI;25788;;
ITALIA;SARDIGNA NATZIONE;23355;;
ITALIA;GR.INDIP.LIBERTA';17451;;
ITALIA;AMBIENTALISTI;15560;;
ITALIA;PART.UMANISTA;14601;;
ITALIA;RINNOVAMENTO;13677;;
ITALIA;PATTO PER L'AGRO;12297;;
ITALIA;DEMOCRAZIA SOCIALE;9319;;
ITALIA;MOV.RIN.IT.;8886;;
ITALIA;MOV.AUT.TOSCANO;8627;;
ITALIA;PART.LEGGE NATURALE;8298;;
ITALIA;NUOVA DEMOCRAZIA;8185;;
ITALIA;FEDERALISTI LIBERALI;6475;;
ITALIA;PER LE MARCHE;5545;;
ITALIA;NUOVE ENERGIE;5393;;
ITALIA;SVILUPPO-LEGALITA';5347;;
ITALIA;NORD LIBERO AUT.;4965;;
ITALIA;PART.FEDERAL.;3743;;
ITALIA;RISORGIMENTO DEL SUD;3084;;
