

Ente;Liste/Gruppi;Voti;
ITALIA;DC;10862073;;
ITALIA;PCI;6120809;;
ITALIA;PSI;3441014;;
ITALIA;P.NAZ.MONARCHICO;1854850;;
ITALIA;MSI;1582154;;
ITALIA;PSDI;1222957;;
ITALIA;PLI;815929;;
ITALIA;PRI;438149;;
ITALIA;UN.SOCIAL.INDIP.;225409;;
ITALIA;UNITA'POPOLARE;171099;;
ITALIA;PPST;122474;;
ITALIA;ALL.DEMOC.NAZIONALE;120685;;
ITALIA;PS D'AZ.;27231;;
ITALIA;IND.SIN.;21920;;
ITALIA;CENTRO POLITICO IT.;14493;;
ITALIA;P.MONARCHICO NAZ.IT.;8089;;
ITALIA;LISTA MONARCHICA;6759;;
ITALIA;UN.NAZ.DEM.IMP.PUB.;6581;;
ITALIA;P.NETTISTA ITALIANO;4305;;
ITALIA;P.RADICAL SOCIALISTA;3283;;
ITALIA;P.NAZIONALI FEDERATI;2895;;
ITALIA;MOV.SOC.CRISTIANO;2799;;
ITALIA;M.FEMMINILE IT.;1752;;
ITALIA;PPTT;1714;;
ITALIA;P.CRIST.MILITANTE;1473;;
ITALIA;MOV.NAZIONALE IT.;1257;;
ITALIA;P.UN.SOCIALE IT.;1101;;
ITALIA;P.VOLONTA'NAZIONALE;1010;;
ITALIA;P.FEDERALISTA IT.;866;;
ITALIA;M.GARIB.PART.D'ITALIA;762;;
ITALIA;P.ESISTENZIALISTA UN;716;;
ITALIA;P.UNIONE NAZIONALE;563;;
ITALIA;IND;530;;
