

Ente;Candidato;Liste/Gruppi;Voti lista;;
ITALIA (escl. Valle d'Aosta);WALTER VELTRONI ;PARTITO DEMOCRATICO;12095306;;
ITALIA (escl. Valle d'Aosta);;DI PIETRO ITALIA DEI VALORI;1594024;;
ITALIA (escl. Valle d'Aosta);SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';13629464;;
ITALIA (escl. Valle d'Aosta);;LEGA NORD;3024543;;
ITALIA (escl. Valle d'Aosta);;MOVIMENTO PER L'AUTONOMIA ALL.PER IL SUD;410499;;
ITALIA (escl. Valle d'Aosta);FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;1124298;;
ITALIA (escl. Valle d'Aosta);PIER FERDINANDO CASINI ;UNIONE DI CENTRO;2050229;;
ITALIA (escl. Valle d'Aosta);DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;884961;;
ITALIA (escl. Valle d'Aosta);SERGIO RIBOLDI ;M.E.D.A.;16483;;
ITALIA (escl. Valle d'Aosta);PIUS LEITNER ;DIE FREIHEITLICHEN;28340;;
ITALIA (escl. Valle d'Aosta);SIEGFRIED BRUGGER ;SVP;147718;;
ITALIA (escl. Valle d'Aosta);BUSTIANU CUMPOSTU ;SARDIGNA NATZIONE;7176;;
ITALIA (escl. Valle d'Aosta);GIANFRANCO VESTUTO ;LEGA SUD;4399;;
ITALIA (escl. Valle d'Aosta);ROBERTO FIORE ;FORZA NUOVA;109699;;
ITALIA (escl. Valle d'Aosta);STEFANO DE LUCA ;P.LIBERALE ITALIANO;104053;;
ITALIA (escl. Valle d'Aosta);GIACOMO SANNA ;PS D'AZ.;14860;;
ITALIA (escl. Valle d'Aosta);ENRICO BOSELLI ;PARTITO SOCIALISTA;355495;;
ITALIA (escl. Valle d'Aosta);GIULIANO FERRARA ;ASS.DIFESA DELLA VITA ABORTO?NO,GRAZIE;135535;;
ITALIA (escl. Valle d'Aosta);FLAVIA D'ANGELI ;SINISTRA CRITICA;168916;;
ITALIA (escl. Valle d'Aosta);STEFANO MONTANARI ;PER IL BENE COMUNE;119569;;
ITALIA (escl. Valle d'Aosta);LUIGI FERRANTE ;IL LOTO;1797;;
ITALIA (escl. Valle d'Aosta);CARLO COVI ;L'INTESA VENETA;2388;;
ITALIA (escl. Valle d'Aosta);FABIANA STEFANONI ;PARTITO DI ALTERNATIVA COMUNISTA;1993;;
ITALIA (escl. Valle d'Aosta);MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;208296;;
ITALIA (escl. Valle d'Aosta);ANDREAS POEDER ;UNION FUR SUD TIROL;12981;;
ITALIA (escl. Valle d'Aosta);EVA ROSSI ;LEGA PER L'AUTONOMIA ALL.LOMB. LEGA PENS;13992;;
ITALIA (escl. Valle d'Aosta);GIORGIO VIDO ;LG.VENETA REPUBBLICA;31353;;
ITALIA (escl. Valle d'Aosta);ANTONIO PIARULLI ;MOVIMENTO P.P.A.;946;;
ITALIA (escl. Valle d'Aosta);RENZO RABELLINO ;LISTA DEI GRILLI PARLANTI;66835;;
ITALIA (escl. Valle d'Aosta);BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;91106;;
Ente;Liste/Gruppi;Voti;
CIRCOSCRIZIONE ESTERO;PARTITO DEMOCRATICO;338954;;
CIRCOSCRIZIONE ESTERO;IL POPOLO DELLA LIBERTA';322437;;
CIRCOSCRIZIONE ESTERO;UNIONE DI CENTRO;88017;;
CIRCOSCRIZIONE ESTERO;MOV.ASSOCIATIVO ITALIANI ALL'ESTERO;86970;;
CIRCOSCRIZIONE ESTERO;ASS.ITAL.SUD AMERICA;64325;;
CIRCOSCRIZIONE ESTERO;DI PIETRO ITALIA DEI VALORI;42149;;
CIRCOSCRIZIONE ESTERO;PARTITO SOCIALISTA;32513;;
CIRCOSCRIZIONE ESTERO;LA SINISTRA L'ARCOBALENO;28495;;
CIRCOSCRIZIONE ESTERO;LA DESTRA - FIAMMA TRICOLORE;14974;;
CIRCOSCRIZIONE ESTERO;L' ALTRA SICILIA PER IL SUD;9251;;
CIRCOSCRIZIONE ESTERO;SINISTRA CRITICA;6062;;
CIRCOSCRIZIONE ESTERO;CONSUMATORI CIVICI ITALIANI;4878;;
CIRCOSCRIZIONE ESTERO;VALORI E FUTURO;4493;;
