

Ente;Liste/Gruppi;Voti;
ITALIA;DC;12912466;;
ITALIA;PCI;9068961;;
ITALIA;PSI;3208497;;
ITALIA;MSI;2894722;;
ITALIA;PSDI;1718142;;
ITALIA;PLI;1300439;;
ITALIA;PRI;954357;;
ITALIA;PSIUP;648591;;
ITALIA;MANIFESTO;224313;;
ITALIA;PPST;153674;;
ITALIA;MOV.POL.LAV.;120251;;
ITALIA;PC(MARX-LEN)IT;86038;;
ITALIA;DC-UV-RV-PSDI;34083;;
ITALIA;DEM.POP.;28886;;
ITALIA;PAPI;15304;;
ITALIA;STELLA ROSSA-R.S.;9108;;
ITALIA;AZ.CR.POP.;9068;;
ITALIA;RINN.DEM.NAZ.;5893;;
ITALIA;PCS (MARX.-LEN.);2958;;
ITALIA;FR.NAZ.SIC.;2884;;
ITALIA;UN.FORZE DEM.;2190;;
ITALIA;PART.AGRICOLTORI;1706;;
ITALIA;FR.UOMO QUALUNQUE;1017;;
