Row;Angle;Nominativo;Gruppo;Color
12;33;FERRARI Roberto Paolo;LEGA - SALVINI PREMIER;#03a71e
13;33;FIORINI Benedetta;LEGA - SALVINI PREMIER;#03a71e
14;33;FOGLIANI Ketty;LEGA - SALVINI PREMIER;#03a71e
15;33;FONTANA Lorenzo;LEGA - SALVINI PREMIER;#03a71e
16;33;FORMENTINI Paolo;LEGA - SALVINI PREMIER;#03a71e
17;33;FOSCOLO Sara;LEGA - SALVINI PREMIER;#03a71e
18;33;FRASSINI Rebecca;LEGA - SALVINI PREMIER;#03a71e
19;33;FURGIUELE Domenico;LEGA - SALVINI PREMIER;#03a71e
20;33;GALLI Dario;LEGA - SALVINI PREMIER;#03a71e
21;33;GARAVAGLIA Massimo;LEGA - SALVINI PREMIER;#03a71e
22;33;GASTALDI Flavio;LEGA - SALVINI PREMIER;#03a71e
23;33;GAVA Vannia;LEGA - SALVINI PREMIER;#03a71e
24;33;GERARDI Francesca;LEGA - SALVINI PREMIER;#03a71e
10;34;GIACCONE Andrea;LEGA - SALVINI PREMIER;#03a71e
11;34;GIACOMETTI Antonietta;LEGA - SALVINI PREMIER;#03a71e
12;34;GIGLIO VIGNA Alessandro;LEGA - SALVINI PREMIER;#03a71e
13;34;GIORGETTI Giancarlo;LEGA - SALVINI PREMIER;#03a71e
14;34;GOBBATO Claudia;LEGA - SALVINI PREMIER;#03a71e
15;34;GOLINELLI Guglielmo;LEGA - SALVINI PREMIER;#03a71e
16;34;GRIMOLDI Paolo;LEGA - SALVINI PREMIER;#03a71e
17;34;GUIDESI Guido;LEGA - SALVINI PREMIER;#03a71e
18;34;GUSMEROLI Alberto Luigi;LEGA - SALVINI PREMIER;#03a71e
19;34;IEZZI Igor Giancarlo;LEGA - SALVINI PREMIER;#03a71e
20;34;INVERNIZZI Cristian;LEGA - SALVINI PREMIER;#03a71e
21;34;LAZZARINI Arianna;LEGA - SALVINI PREMIER;#03a71e
22;34;LEGNAIOLI Donatella;LEGA - SALVINI PREMIER;#03a71e
23;34;LIUNI Marzio;LEGA - SALVINI PREMIER;#03a71e
24;34;LOCATELLI Alessandra;LEGA - SALVINI PREMIER;#03a71e
10;35;LOLINI Mario;LEGA - SALVINI PREMIER;#03a71e
11;35;LORENZONI Eva;LEGA - SALVINI PREMIER;#03a71e
12;35;LOSS Martina;LEGA - SALVINI PREMIER;#03a71e
13;35;LUCCHINI Elena;LEGA - SALVINI PREMIER;#03a71e
14;35;LUCENTINI Mauro;LEGA - SALVINI PREMIER;#03a71e
15;35;MACCANTI Elena;LEGA - SALVINI PREMIER;#03a71e
16;35;MAGGIONI Marco;LEGA - SALVINI PREMIER;#03a71e
17;35;MANZATO Franco;LEGA - SALVINI PREMIER;#03a71e
18;35;MARCHETTI Riccardo Augusto;LEGA - SALVINI PREMIER;#03a71e
19;35;MATURI Filippo;LEGA - SALVINI PREMIER;#03a71e
20;35;MINARDO Antonino;LEGA - SALVINI PREMIER;#03a71e
21;35;MOLINARI Riccardo;LEGA - SALVINI PREMIER;#03a71e
22;35;MOLTENI Nicola;LEGA - SALVINI PREMIER;#03a71e
23;35;MORELLI Alessandro;LEGA - SALVINI PREMIER;#03a71e
24;35;MORRONE Jacopo;LEGA - SALVINI PREMIER;#03a71e
10;36;MOSCHIONI Daniele;LEGA - SALVINI PREMIER;#03a71e
11;36;MURELLI Elena;LEGA - SALVINI PREMIER;#03a71e
12;36;PAGANO Alessandro;LEGA - SALVINI PREMIER;#03a71e
13;36;PANIZZUT Massimiliano;LEGA - SALVINI PREMIER;#03a71e
14;36;PAOLIN Giuseppe;LEGA - SALVINI PREMIER;#03a71e
15;36;PAOLINI Luca Rodolfo;LEGA - SALVINI PREMIER;#03a71e
16;36;PAROLO Ugo;LEGA - SALVINI PREMIER;#03a71e
17;36;PATASSINI Tullio;LEGA - SALVINI PREMIER;#03a71e
18;36;PATELLI Cristina;LEGA - SALVINI PREMIER;#03a71e
19;36;PATERNOSTER Paolo;LEGA - SALVINI PREMIER;#03a71e
20;36;PETTAZZI Lino;LEGA - SALVINI PREMIER;#03a71e
21;36;PIASTRA Carlo;LEGA - SALVINI PREMIER;#03a71e
22;36;PICCHI Guglielmo;LEGA - SALVINI PREMIER;#03a71e
23;36;PICCOLO Tiziana;LEGA - SALVINI PREMIER;#03a71e
24;36;POTENTI Manfredi;LEGA - SALVINI PREMIER;#03a71e
10;37;PRETTO Erik Umberto;LEGA - SALVINI PREMIER;#03a71e
11;37;RACCHELLA Germano;LEGA - SALVINI PREMIER;#03a71e
12;37;RAFFAELLI Elena;LEGA - SALVINI PREMIER;#03a71e
13;37;RAVETTO Laura;LEGA - SALVINI PREMIER;#03a71e
14;37;RIBOLLA Alberto;LEGA - SALVINI PREMIER;#03a71e
15;37;RIXI Edoardo;LEGA - SALVINI PREMIER;#03a71e
16;37;SALTAMARTINI Barbara;LEGA - SALVINI PREMIER;#03a71e
17;37;SASSO Rossano;LEGA - SALVINI PREMIER;#03a71e
18;37;STEFANI Alberto;LEGA - SALVINI PREMIER;#03a71e
19;37;SUTTO Mauro;LEGA - SALVINI PREMIER;#03a71e
20;37;TARANTINO Leonardo;LEGA - SALVINI PREMIER;#03a71e
21;37;TATEO Anna Rita;LEGA - SALVINI PREMIER;#03a71e
22;37;TIRAMANI Paolo;LEGA - SALVINI PREMIER;#03a71e
23;37;TOCCALINI Luca;LEGA - SALVINI PREMIER;#03a71e
24;37;TOMASI Maura;LEGA - SALVINI PREMIER;#03a71e
10;38;TOMBOLATO Giovanni Battista;LEGA - SALVINI PREMIER;#03a71e
11;38;TONELLI Gianni;LEGA - SALVINI PREMIER;#03a71e
12;38;TURRI Roberto;LEGA - SALVINI PREMIER;#03a71e
13;38;VALBUSA Vania;LEGA - SALVINI PREMIER;#03a71e
14;38;VALLOTTO Sergio;LEGA - SALVINI PREMIER;#03a71e
15;38;VINCI Gianluca;LEGA - SALVINI PREMIER;#03a71e
16;38;VIVIANI Lorenzo;LEGA - SALVINI PREMIER;#03a71e
17;38;VOLPI Raffaele;LEGA - SALVINI PREMIER;#03a71e
18;38;ZANELLA Federica;LEGA - SALVINI PREMIER;#03a71e
19;38;ZENNARO Antonio;LEGA - SALVINI PREMIER;#03a71e
20;38;ZICCHIERI Francesco;LEGA - SALVINI PREMIER;#03a71e
21;38;ZIELLO Edoardo;LEGA - SALVINI PREMIER;#03a71e
22;38;ZOFFILI Eugenio;LEGA - SALVINI PREMIER;#03a71e
23;38;ZORDAN Adolfo;LEGA - SALVINI PREMIER;#03a71e
24;38;ACUNZO Nicola;Misto;#737874
10;39;AIELLO Piera;Misto;#737874
11;39;ANGIOLA Nunzio;Misto;#737874
12;39;APRILE Nadia;Misto;#737874
13;39;BENEDETTI Silvia;Misto;#737874
14;39;BENIGNI Stefano;Misto;#737874
15;39;BERARDINI Fabio;Misto;#737874
16;39;BOLOGNA Fabiola;Misto;#737874
17;39;CARDINALE Daniela;Misto;#737874
18;39;COLUCCI Alessandro;Misto;#737874
19;39;COSTA Enrico;Misto;#737874
20;39;CUNIAL Sara;Misto;#737874
21;39;DE GIORGI #ffc8eclba;Misto;#737874
22;39;DE GIROLAMO Carlo Ugo;Misto;#737874
23;39;DE TOMA Massimiliano;Misto;#737874
24;39;ERMELLINO Alessandra;Misto;#737874
10;40;FIORAMONTI Lorenzo;Misto;#737874
11;40;FRATE Flora;Misto;#737874
12;40;FUSACCHIA Alessandro;Misto;#737874
13;40;GAGLIARDI Manuela;Misto;#737874
14;40;GEBHARD Renate;Misto;#737874
15;40;GERMANA' Antonino;Misto;#737874
16;40;LAPIA Mara;Misto;#737874
17;40;LOMBARDO Antonio;Misto;#737874
18;40;LO MONTE Carmelo;Misto;#737874
19;40;LUPI Maurizio;Misto;#737874
20;40;MAGI Riccardo;Misto;#737874
21;40;PEDRAZZINI Claudio;Misto;#737874
22;40;PLANGGER Albrecht;Misto;#737874
23;40;POLVERINI Renata;Misto;#737874
24;40;RIZZONE Marco;Misto;#737874
10;41;ROMANO Paolo Nicolo';Misto;#737874
11;41;ROSPI Gianluca;Misto;#737874
12;41;ROSSINI Emanuela;Misto;#737874
13;41;SANGREGORIO Eugenio;Misto;#737874
14;41;SCHULLIAN Manfred;Misto;#737874
15;41;SGARBI Vittorio;Misto;#737874
16;41;SILLI Giorgio;Misto;#737874
17;41;SILVESTRI Rachele;Misto;#737874
18;41;SIRAGUSA Elisa;Misto;#737874
19;41;SORTE Alessandro;Misto;#737874
20;41;TABACCI Bruno;Misto;#737874
21;41;TONDO Renzo;Misto;#737874
22;41;TRANO Raffaele;Misto;#737874
23;41;VIZZINI Gloria;Misto;#737874
