

Ente;Liste/Gruppi;Voti;
ITALIA;DC;10780954;;
ITALIA;PCI;5700952;;
ITALIA;PSI;3682945;;
ITALIA;PSDI;1164280;;
ITALIA;MSI;1150051;;
ITALIA;PLI;1012610;;
ITALIA;P.MONARCHICO POP.;774242;;
ITALIA;P.NAZ.MONARCHICO;565045;;
ITALIA;PRI-P.RAD.;363462;;
ITALIA;PART.NAZ.MON-MSI;291359;;
ITALIA;PCI-PSI;185557;;
ITALIA;COMUNITA';142897;;
ITALIA;PPST;120068;;
ITALIA;MOVIM.AUT.REG.-M.A.R.P.;61088;;
ITALIA;PSI-PSDI-IS;43191;;
ITALIA;IND.SIN.;28141;;
ITALIA;PS D'AZ.;25923;;
ITALIA;CHIAVE;12686;;
ITALIA;BRUNO BUITONI;11540;;
ITALIA;TRE CIME DI LAVAREDO;9928;;
ITALIA;TOTA SABINA CIVITAS;6449;;
ITALIA;PART.NAZ.MONARCHICO;4729;;
ITALIA;P.NAZIONALE LAVORO;3588;;
ITALIA;UNIFIC.SOCIALISTA;3110;;
ITALIA;QUADRIFOGLIO;2818;;
ITALIA;MOVIMENTO RURALE;2389;;
