

Ente;Liste/Gruppi;Voti;
ITALIA;PROGRESSISTI ;10881320;;
ITALIA;POLO DELLE LIBERTA';6570468;;
ITALIA;PATTO PER L'ITALIA;5519090;;
ITALIA;POLO BUON GOVERNO;4544573;;
ITALIA;ALLEANZA NAZIONALE;2077934;;
ITALIA;ALTRI GRUPPI;835028;;
ITALIA;PANNELLA-RIFORMATORI;767765;;
ITALIA;ALTRE LEGHE;341725;;
ITALIA;PARTITO PENSIONATI;250637;;
ITALIA;LEGA ALPINA LUMBARDA;246046;;
ITALIA;LISTE AUTONOMISTE;233361;;
ITALIA;SVP;217137;;
ITALIA;FI-CCD;149965;;
ITALIA;PSI;103490;;
ITALIA;VERDI FEDERALISTI;100418;;
ITALIA;PS D'AZ.;88225;;
ITALIA;VERDI-VERDI;68218;;
ITALIA;SOCIALDEMOCRAZIA;66589;;
ITALIA;LA RETE-MOV.DEM.;12560;;
