

Ente;Liste/Gruppi;Voti;
ITALIA;DC;12010716;;
ITALIA;PCI;9855951;;
ITALIA;PSI;3252410;;
ITALIA;MSI-DN;1780950;;
ITALIA;PSDI;1320729;;
ITALIA;PRI;1053251;;
ITALIA;PLI;691718;;
ITALIA;P.RAD;413444;;
ITALIA;P.RAD-N.SIN.UN.;365954;;
ITALIA;DN-CD;176966;;
ITALIA;PPST;172582;;
ITALIA;ASSOCIAZIONE PER TRIESTE;61911;;
ITALIA;NUOVA SIN.UNITA;44094;;
ITALIA;UNIONE VALDOSTANA-DEMPROL-PLI;37082;;
ITALIA;MOV.FRIULI;31490;;
ITALIA;UNITA DELLA SINISTRA;19814;;
ITALIA;PS D'AZ.;15766;;
ITALIA;PRI-PST-PROGR.SOC.;9115;;
ITALIA;NUOVA SIN.SARDA;5512;;
ITALIA;PART.POP.CALAB.;4009;;
ITALIA;P.DEM.;3748;;
ITALIA;FIORE MARGHERITA;2056;;
ITALIA;PART.BEN.CIV.;1072;;
ITALIA;MOV.AVE;455;;
