

Ente;Liste/Gruppi;Voti;
ITALIA;DC;12227353;;
ITALIA;PCI;10637772;;
ITALIA;PSI;3208164;;
ITALIA;MSI-DN;2086430;;
ITALIA;PSDI;974940;;
ITALIA;PRI;846415;;
ITALIA;PLI;438265;;
ITALIA;PLI-PRI-PSDI;334898;;
ITALIA;P.RAD;265947;;
ITALIA;PPST;158584;;
ITALIA;DEM.PROL;78170;;
ITALIA;PCI-PSI;52922;;
ITALIA;PLI-PRI;51353;;
ITALIA;DC-RV-UV-UVP-PRI;22917;;
ITALIA;PCI-PSI-PDUP;21072;;
ITALIA;DEM.POP-UVP M.REG;17699;;
ITALIA;UNIONE SLOVENA;9023;;
ITALIA;TIROL.;7193;;
ITALIA;NPP;4827;;
ITALIA;P.DEM.;3074;;
ITALIA;GR.MARGH.;1892;;
ITALIA;GR.AVE;521;;
