

Ente;Candidato;Liste/Gruppi;Voti lista;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);WALTER VELTRONI ;PARTITO DEMOCRATICO;11042452;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;DI PIETRO ITALIA DEI VALORI;1414730;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';12511258;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;LEGA NORD;2642280;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);;MOVIMENTO PER L'AUTONOMIA ALL.PER IL SUD;355361;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);FAUSTO BERTINOTTI ;LA SINISTRA L'ARCOBALENO;1053228;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);PIER FERDINANDO CASINI ;UNIONE DI CENTRO;1866356;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);DANIELA GARNERO SANTANCHE' ;LA DESTRA - FIAMMA TRICOLORE;686926;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);SERGIO RIBOLDI ;M.E.D.A.;19899;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);DOMENICO SAVIO ;P.COM.MARX-LEN.;8094;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);BUSTIANU CUMPOSTU ;SARDIGNA NATZIONE;6972;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);GIANFRANCO VESTUTO ;LEGA SUD;7109;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);ROBERTO FIORE ;FORZA NUOVA;85564;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);STEFANO DE LUCA ;P.LIBERALE ITALIANO;100759;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);GIACOMO SANNA ;PS D'AZ.;15280;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);ENRICO BOSELLI ;PARTITO SOCIALISTA;284837;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);FLAVIA D'ANGELI ;SINISTRA CRITICA;136679;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);ANTONIO POTENZA ;POPOLARI UNITI;12389;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);STEFANO MONTANARI ;PER IL BENE COMUNE;105827;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);CARLO COVI ;L'INTESA VENETA;4600;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;180442;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);EVA ROSSI ;LEGA PER L'AUTONOMIA ALL.LOMB. LEGA PENS;45623;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);GIORGIO VIDO ;LG.VENETA REPUBBLICA;47647;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);ANTONIO CIANO ;PARTITO DEL SUD-ALLEANZA MERIDIONALE;3727;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);GIUSEPPE QUARANTA ;SUD LIBERO;1795;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);ANTONIO PIARULLI ;MOVIMENTO P.P.A.;1597;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);RENZO RABELLINO ;LISTA DEI GRILLI PARLANTI;49535;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);BRUNO DE VITA ;UNIONE DEMOCRATICA PER I CONSUMATORI;78139;;
ITALIA (escl. Valle d'Aosta e Trentino-Alto Adige);GIORGIO GALLI ;FRONTE INDIPENDENTISTA LOMBARDIA;5234;;
Ente;Liste/Gruppi;Voti;
ESTERO;IL POPOLO DELLA LIBERTA';322698;;
ESTERO;PARTITO DEMOCRATICO;314703;;
ESTERO;MOV.ASSOCIATIVO ITALIANI ALL'ESTERO;72511;;
ESTERO;ASS.ITAL.SUD AMERICA;60794;;
ESTERO;UNIONE DI CENTRO;57817;;
ESTERO;DI PIETRO ITALIA DEI VALORI;38357;;
ESTERO;PARTITO SOCIALISTA;28149;;
ESTERO;LA SINISTRA L'ARCOBALENO;27067;;
ESTERO;LA DESTRA - FIAMMA TRICOLORE;13139;;
ESTERO;L' ALTRA SICILIA PER IL SUD;8391;;
ESTERO;SINISTRA CRITICA;5855;;
ESTERO;CONSUMATORI CIVICI ITALIANI;3663;;
