

Ente;Liste/Gruppi;Voti;
ITALIA;DC;10077204;;
ITALIA;PCI;9577071;;
ITALIA;PSI;3539593;;
ITALIA;MSI-DN;2283524;;
ITALIA;PRI;1452279;;
ITALIA;PSDI;1184936;;
ITALIA;PLI;834771;;
ITALIA;P.RAD;548229;;
ITALIA;PART.NAZ.PENS.;370756;;
ITALIA;DEM.PROL;327750;;
ITALIA;PPST;157444;;
ITALIA;PLI-PRI;127504;;
ITALIA;PLI-PRI-PSDI;100218;;
ITALIA;LIGA VENETA;91171;;
ITALIA;LISTA PER TRIESTE;85542;;
ITALIA;PS D'AZ.;76797;;
ITALIA;PLI-PSDI;72298;;
ITALIA;RINN-MOLISE;33525;;
ITALIA;LISTA TS-PPPIU;27940;;
ITALIA;UV-UVP-D.POP.;26547;;
ITALIA;MOV.FRIULI;23847;;
ITALIA;PPTT;17354;;
ITALIA;PART.CRIST.AZ.SOC.;12588;;
ITALIA;UN.PEN.PENS.IT.;10895;;
ITALIA;UNIONE SLOVENA;8904;;
ITALIA;FR.NAZ.SIC.;8243;;
ITALIA;LISTA DI LOTTA;6403;;
ITALIA;LISTA TS-UDP;5678;;
