

Ente;Liste/Gruppi;Voti;
ITALIA;CASA DELLE LIBERTA';14406519;;
ITALIA;L'ULIVO;13106860;;
ITALIA;RIFONDAZIONE COMUNISTA;1708707;;
ITALIA;LISTA DI PIETRO;1140489;;
ITALIA;DEMOCRAZIA EUROPEA;1066908;;
ITALIA;PANNELLA-BONINO;677725;;
ITALIA;FIAMMA TRICOLORE;340221;;
ITALIA;ALLEANZA LOMBARDA AUTONOMIA;308559;;
ITALIA;SVP-L'ULIVO;175635;;
ITALIA;LIGA FRONTE VENETO;138134;;
ITALIA;SVP;126177;;
ITALIA;VA' PENSIERO PADANIA;119058;;
ITALIA;FRONTE NAZIONALE;98132;;
ITALIA;DEM.EUR-SOC.AUT;79002;;
ITALIA;PARTITO PENSIONATI;78572;;
ITALIA;FORZA NUOVA;39545;;
ITALIA;VERDI-VERDI;35743;;
ITALIA;PS D'AZ-SARD.NATZ.;32822;;
ITALIA;VALLEE D'AOSTE;32429;;
ITALIA;FILOGRANA SALENTO;21857;;
ITALIA;NOI SICILIANI;20761;;
ITALIA;LEGA D'AZIONE MERIDIONALE;19914;;
ITALIA;LIBDEM.BASTA;19913;;
ITALIA;FI-LG NORD (AOSTA);14817;;
ITALIA;P.LIBERAL POPOLARE;10301;;
ITALIA;LISTA AMADU;9203;;
ITALIA;LISTA ALTERNATIVA;7704;;
ITALIA;FORZA CHIAPPETTA;6932;;
ITALIA;DIE FREIHEITLICHEN;5354;;
ITALIA;LISTA FRANCO GRECO;4284;;
ITALIA;MOVIMENTO DELLE LIBERTA';4023;;
ITALIA;AN (AOSTA);3686;;
ITALIA;RENATO FIORELLI;2924;;
ITALIA;TERZO POLO AUTONOMIA;2392;;
ITALIA;COMUNISMO;2159;;
ITALIA;GIUSEPPE BOSCOLO;1058;;
ITALIA;PARLAMENTARE INDIP.;993;;
ITALIA;GIUSTIZIA-PROGRESSO;950;;
ITALIA;TOSCANA GRANDUC-FED.;625;;
ITALIA;PA.C.I.;175;;
