

Ente;Candidato;Liste/Gruppi;Voti lista;;
ITALIA;PIER LUIGI BERSANI ;PARTITO DEMOCRATICO;8400851;;
ITALIA;;SINISTRA ECOLOGIA LIBERTA';911486;;
ITALIA;;CENTRO DEMOCRATICO;162418;;
ITALIA;;IL MEGAFONO - LISTA CROCETTA;138564;;
ITALIA;;PARTITO SOCIALISTA ITALIANO;57606;;
ITALIA;;MODERATI;14512;;
ITALIA;SILVIO BERLUSCONI ;IL POPOLO DELLA LIBERTA';6828994;;
ITALIA;;LEGA NORD;1328534;;
ITALIA;;FRATELLI D'ITALIA;590645;;
ITALIA;;LA DESTRA;221368;;
ITALIA;;PARTITO PENSIONATI;123237;;
ITALIA;;GRANDE SUD;122262;;
ITALIA;;MIR - MODERATI IN RIVOLUZIONE;69838;;
ITALIA;;MPA - PARTITO DEI SICILIANI;48539;;
ITALIA;;INTESA POPOLARE;24870;;
ITALIA;;CANTIERE POPOLARE;21675;;
ITALIA;;BASTA TASSE;19202;;
ITALIA;;LIBERI PER UNA ITALIA EQUA;6488;;
ITALIA;GIUSEPPE PIERO GRILLO ;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;7286550;;
ITALIA;MARIO MONTI ;CON MONTI PER L'ITALIA;2797734;;
ITALIA;ANTONIO INGROIA ;RIVOLUZIONE CIVILE;551064;;
ITALIA;OSCAR FULVIO GIANNINO ;FARE PER FERMARE IL DECLINO;278470;;
ITALIA;MARCO FERRANDO ;PARTITO COMUNISTA DEI LAVORATORI;113967;;
ITALIA;ROBERTO FIORE ;FORZA NUOVA;81578;;
ITALIA;GIACINTO MARCO PANNELLA ;LISTA AMNISTIA GIUSTIZIA LIBERTA';63074;;
ITALIA;LUCA ROMAGNOLI ;FIAMMA TRICOLORE;52060;;
ITALIA;MAGDI CRISTIANO ALLAM ;IO AMO L'ITALIA;40660;;
ITALIA;SIMONE DI STEFANO ;CASAPOUND ITALIA;40716;;
ITALIA;LODOVICO PIZZATI ;INDIPENDENZA VENETA;29690;;
ITALIA;FABRIZIO COMENCINI ;LG.VENETA REPUBBLICA;20361;;
ITALIA;OTTAVIO PASQUALUCCI ;DIMEZZIAMO LO STIPENDIO AI POLITICI;7965;;
ITALIA;;NO ALLA CHIUSURA DEGLI OSPEDALI;7553;;
ITALIA;;VIVA L'ITALIA;4767;;
ITALIA;GIOVANNI ANGELO COLLI ;PS D'AZ.;18569;;
ITALIA;ENZO BOSIO ;CIVILTA' RURALE SVILUPPO;13955;;
ITALIA;CARLO MASCI ;RIALZATI ABRUZZO;11821;;
ITALIA;DOMENICO SAVIO ;P.COM.MARX-LEN.;9599;;
ITALIA;ANTONIO GUADAGNINI ;VENETO STATO;8973;;
ITALIA;FRANCO TORCHIA ;PRI;8124;;
ITALIA;MARIA CRISTINA SANDRIN ;DONNE PER L'ITALIA;7610;;
ITALIA;PIETRO MURRU ;INDIPENDENZA PER LA SARDEGNA;7509;;
ITALIA;GIULIO ARRIGHINI ;UNIONE PADANA;7317;;
ITALIA;ANTONIO POTENZA ;POPOLARI UNITI;6584;;
ITALIA;MARCO MARSILI ;I PIRATI;6252;;
ITALIA;STEFANIA GABRIELLA ANASTASIA CRAXI ;RIFORMISTI ITALIANI;5916;;
ITALIA;SALVATORE MELONI ;MERIS;5770;;
ITALIA;ADRIANO LOTITO ;PARTITO DI ALTERNATIVA COMUNISTA;5185;;
ITALIA;ALFONSO LUIGI MARRA ;PAS - FLB&LT;4742;;
ITALIA;PIERO PUSCHIAVO ;PROGETTO NAZIONALE;3826;;
ITALIA;EFISIO ARBAU ;LA BASE;3383;;
ITALIA;ANTONIO CORSI ;TUTTI INSIEME PER L'ITALIA;3092;;
ITALIA;RAFFAELE BRUNO ;RIFONDAZIONE MISSINA ITALIANA;2698;;
ITALIA;GIOVANNA SORBELLI ;MOVIMENTO EUDONNA;2302;;
ITALIA;MASSIMO ROMANO ;COSTRUIRE DEMOCRAZIA;2658;;
ITALIA;MARINA PETRINI ;MOVIMENTO PROGETTO ITALIA - MID;1441;;
ITALIA;ANDREA BALIA ;PARTITO DEL SUD;1263;;
ITALIA;GABRIELE NAPPI ;MOVIMENTO NATURALISTA ITALIANO;1131;;
ITALIA;MICHELE SOMMA ;COMUNITA' LUCANA;883;;
Ente;Liste/Gruppi;Voti;
ESTERO;PARTITO DEMOCRATICO;274732;;
ESTERO;CON MONTI PER L'ITALIA;177402;;
ESTERO;IL POPOLO DELLA LIBERTA';136052;;
ESTERO;MOV.ASSOCIATIVO ITALIANI ALL'ESTERO;120290;;
ESTERO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;89562;;
ESTERO;USEI;38223;;
ESTERO;ITALIANI PER LA LIBERTA';15260;;
ESTERO;RIVOLUZIONE CIVILE;14134;;
ESTERO;UNIONE ITALIANI SUDAMERICA;10811;;
ESTERO;FARE PER FERMARE IL DECLINO;7892;;
ESTERO;PARTITO COMUNISTA;7578;;
ESTERO;INSIEME PER GLI ITALIANI;3223;;
