

Ente;Liste/Gruppi;Voti;
ITALIA;DC;10899640;;
ITALIA;FR.DEMOCR.POPOLARE;6969122;;
ITALIA;BLOCCO NAZIONALE;1222419;;
ITALIA;UNITA' SOCIALISTA;943219;;
ITALIA;UNITA' SOC.-PRI;607792;;
ITALIA;PRI;594178;;
ITALIA;IND;544039;;
ITALIA;P.NAZ.MONARCHICO;393510;;
ITALIA;MSI;164092;;
ITALIA;EDELWEISS;95406;;
ITALIA;P.CONTADINI D'ITALIA;65986;;
ITALIA;PS D'AZ.;65743;;
ITALIA;UN.MOV.FEDERALISTI;42880;;
ITALIA;MOV.NAZ.DEM.SOC.;27152;;
ITALIA;FR.DEM.PROG.REPUB.;13479;;
ITALIA;ALTRI;2932;;
ITALIA;CONC.RUR.IND.AOSTA;2868;;
ITALIA;UN.SOCIAL.INDIP.;2833;;
