

Ente;Liste/Gruppi;Voti;
ITALIA;DC;10897036;;
ITALIA;PCI;9181579;;
ITALIA;PSI;3535457;;
ITALIA;MSI-DN;2121026;;
ITALIA;PRI;1248641;;
ITALIA;PSI-PSDI-PR;962215;;
ITALIA;PSDI;764370;;
ITALIA;PLI;700330;;
ITALIA;LISTA VERDE;634182;;
ITALIA;P.RAD;572461;;
ITALIA;DEM.PROL;493667;;
ITALIA;LIGA VENETA-PU;298552;;
ITALIA;PPST;171539;;
ITALIA;LEGA LOMBARDA;137276;;
ITALIA;PS D'AZ.;124266;;
ITALIA;ALL.LAICA SOC.;84883;;
ITALIA;PIEMONT-AUT.REG.;60742;;
ITALIA;PSI-PSDI-PR-VERDI;58501;;
ITALIA;ALL.POP.PENS;51790;;
ITALIA;PIEMONT;51340;;
ITALIA;ALL.DEM.MOL.;49297;;
ITALIA;CPA;41135;;
ITALIA;UV-ADP-PRI;35830;;
ITALIA;DC-PCI-PSI-PSDI-PLI;25426;;
ITALIA;P.VERDE I.VER.E.;22006;;
ITALIA;VERDI IT.-P.ECOL;19127;;
ITALIA;MOV.FRIULI;17528;;
ITALIA;MOV.LIB.FISCALE;13915;;
ITALIA;PARTIDU INDIP.;11818;;
ITALIA;PART.SUD.TIROL;8551;;
ITALIA;RINASCITA SIC.;5258;;
ITALIA;PS D'AZ-ALL.F.;4812;;
ITALIA;PART.NAZ.INQ.;4103;;
ITALIA;MOV.NAZ.IT.CACC.;2695;;
ITALIA;NPP;2507;;
